Snapshot_Date,Opportunity_ID,Opportunity_Stage,Opportunity_Type,Opportunity_Annual_Amount,Opportunity_Created_Date,Opportunity_Close_Date,Opportunity_Product,Account_Electronic_Medical_Record_System,Account_Hospital_Type,Account_Fiscal_Year_End,Account_State,Account_Zip_Code,Account_Number_of_Hospitals ,Account_Number_of_Beds,Account_Number_of_Affiliated_Physicians,Account_Number_of_Employee,Account_Cash_on_Hand,Account_Total_Patient_Revenue,Account_Net_Patient_Revenue,Opportunity_Annual_Amount_Prev_Quarter,Opportunity_Annual_Amount_Diff,Month,Year,Quarter,Year_Quarter
2023-07-01,0061K00000h9QBQ,Stage 4 - Verbal / VOC,New Business,37092.46,5/10/2021,11/20/2023,Diversion Monitoring,Other,Health System,nan,AL,35801.0,11.0,1915.0,2416.0,9035.0,119515913.0,7582342125.0,1620496014.0,100817.3063,-63724.8463,6,2023,Q2,2023Q2
2023-07-01,0061K00000huJjk,Stage 3 - Pricing,Existing Business,58451.89,6/1/2021,2/14/2024,Diversion Monitoring,Cerner,Health System,nan,TN,38104.0,6.0,1648.0,1512.0,9035.0,-10222230.0,7284602305.0,1794046405.0,158872.237,-100420.347,6,2023,Q2,2023Q2
2023-07-01,0061K00000huuIx,Stage 1 - Evaluating,New Business,107419.48,6/21/2021,1/3/2024,Diversion Monitoring,Epic,Short Term Acute Care Hospital,9/30/2023,FL,33606.0,0.0,898.0,1603.0,7062.0,175593803.0,10339881625.0,1734329798.0,291966.1466,-184546.6666,6,2023,Q2,2023Q2
2023-07-01,0061K00000hwYz2,Stage 3 - Pricing,New Business,137636.68,7/27/2021,11/15/2023,Privacy Monitoring,Epic,Health System,nan,MN,55805.0,15.0,1321.0,2270.0,7707.0,491171647.0,5373406365.0,2252975487.0,374096.4962,-236459.8162,6,2023,Q2,2023Q2
2023-07-01,0061K00000hxAip,Stage 1 - Evaluating,New Business,130887.91,8/18/2021,1/3/2024,Privacy Monitoring,Cerner,Health System,nan,AL,35242.0,163.0,9367.0,1138.0,18053.0,578875911.0,6046405916.0,4026232705.0,355753.3394,-224865.4294,6,2023,Q2,2023Q2
2023-07-01,0061K00000hxpAG,Stage 1 - Evaluating,Existing Business,91857.36,9/8/2021,12/12/2023,Diversion Monitoring,Epic,Health System,nan,PA,17403.0,8.0,1311.0,3042.0,10544.029979324603,104128081.0,8436439778.0,2978586312.0,249668.3045,-157810.94449999998,6,2023,Q2,2023Q2
2023-07-01,0061K00000ioytq,Stage 3 - Pricing,New Business,28806.41,11/4/2021,9/30/2023,Diversion Monitoring,Epic,Health System,nan,TX,78411.0,2.0,191.0,367.0,1651.0,30780388.0,1279073317.0,238783276.0,78295.82238,-49489.412379999994,6,2023,Q2,2023Q2
2023-07-01,0061K00000iq8LG,Stage 1 - Evaluating,New Business,53200.0,12/10/2021,4/26/2024,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,6/30/2023,CA,93906.0,0.0,144.0,303.0,2002.0,297509163.0,1379358363.0,306843363.0,144597.6,-91397.6,6,2023,Q2,2023Q2
2023-07-01,0061K00000iqIVh,Stage 2 - Scoping,Existing Business,106000.0,12/15/2021,4/15/2024,Diversion Monitoring,Epic,Health System,nan,KY,40536.0,6.0,1294.0,2385.0,10544.029979324603,1167635729.0,9948591988.0,2638982448.0,288108.0,-182108.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000jTEIe,Stage 2 - Scoping,New Business,68968.66,1/20/2022,3/29/2024,Compliance Analytics,Epic,Health System,nan,DE,19901.0,2.0,409.0,862.0,3167.0,170265284.0,2313848058.0,829151103.0,187456.8179,-118488.15789999999,6,2023,Q2,2023Q2
2023-07-01,0061K00000jTF5J,Stage 3 - Pricing,Existing Business,38578.04,1/20/2022,12/11/2023,Diversion Monitoring,Epic,Health System,nan,FL,33136.0,3.0,564.0,1759.0,4352.0,259901606.0331903,10904781380.0,2290939882.0,104855.1127,-66277.07269999999,6,2023,Q2,2023Q2
2023-07-01,0061K00000jUhha,Stage 2 - Scoping,New Business,40879.0,2/10/2022,11/15/2023,Privacy Monitoring,Epic,Short Term Acute Care Hospital,6/30/2023,NJ,7103.0,0.0,358.0,537.0,3431.0,186817004.0,3001578453.0,686455135.0,111109.122,-70230.122,6,2023,Q2,2023Q2
2023-07-01,0061K00000jV9BO,Stage 0 - Prospecting,New Business,178010.4,2/24/2022,12/13/2023,Privacy Monitoring,Epic,Short Term Acute Care Hospital,9/30/2023,TX,75235.0,0.0,786.0,1458.0,10544.029979324603,56677944.0,8362574308.0,985442009.0,483832.2672,-305821.8672,6,2023,Q2,2023Q2
2023-07-01,0061K00000jVAqt,Stage 0 - Prospecting,Existing Business,48159.62,2/25/2022,10/12/2023,Diversion Monitoring,Epic,Health System,nan,MT,59715.0,2.0,132.0,535.0,1730.0,8275178.0,769826807.0,410446489.0,130897.8472,-82738.2272,6,2023,Q2,2023Q2
2023-07-01,0061K00000jVZNI,Stage 4 - Verbal / VOC,New Business,213250.0,3/7/2022,9/15/2023,Privacy Monitoring,Other,nan,nan,CO,48302.49512076116,0.0,1806.345805820494,2977.190464487589,67000.0,259901606.0331903,11417820175.818886,2851373618.273419,579613.5,-366363.5,6,2023,Q2,2023Q2
2023-07-01,0061K00000jVwgu,Stage 2 - Scoping,New Business,37970.96,3/16/2022,11/16/2023,Diversion Monitoring,Epic,Health System,nan,MA,2740.0,4.0,911.0,1182.0,4554.0,53954586.0,2671787001.0,896166485.0,103205.0693,-65234.109300000004,6,2023,Q2,2023Q2
2023-07-01,0061K00000jVwnv,Stage 5 - Contracting,New Business,30111.05,3/16/2022,9/22/2023,Diversion Monitoring,Epic,Short Term Acute Care Hospital,12/31/2023,NY,11201.0,0.0,257.0,511.0,2206.0,13080000.0,1819817838.0,403051940.0,81841.8339,-51730.783899999995,6,2023,Q2,2023Q2
2023-07-01,0061K00000jW4aS,Stage 1 - Evaluating,Existing Business,21163.18,3/18/2022,12/1/2023,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,6/30/2023,IN,46952.0,0.0,108.0,239.0,10544.029979324603,38780794.0,558389583.0,195058285.0,57521.52324,-36358.34324,6,2023,Q2,2023Q2
2023-07-01,0061K00000jzzCA,Stage 0 - Prospecting,Existing Business,39999.99,4/1/2022,1/3/2024,Privacy Monitoring,Epic,Health System,nan,AL,36607.0,5.0,751.0,1005.0,10544.029979324603,16738191.0,2501585155.0,852661923.0,108719.9728,-68719.9828,6,2023,Q2,2023Q2
2023-07-01,0061K00000k0BLF,Stage 4 - Verbal / VOC,New Business,22092.45,4/5/2022,8/18/2023,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/2023,CO,81505.0,0.0,44.0,315.0,902.0,20070769.0,735419089.0,216502671.0,60047.2791,-37954.8291,6,2023,Q2,2023Q2
2023-07-01,0061K00000k0tDa,Stage 3 - Pricing,Existing Business,55407.0,4/19/2022,9/22/2023,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/2023,CA,91405.0,0.0,333.0,163.0,1864.0,22920686.0,950775168.0,461998367.0,150596.226,-95189.226,6,2023,Q2,2023Q2
2023-07-01,0061K00000k1EDy,Stage 2 - Scoping,Existing Business,58436.95,4/29/2022,10/31/2023,Diversion Monitoring,Epic,Health System,nan,ID,83712.0,11.0,1180.0,2468.0,10568.0,14296945.0,7092819259.0,2937497669.0,158831.6301,-100394.68010000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000k1XAe,Stage 2 - Scoping,New Business,34861.54,5/9/2022,9/1/2023,Diversion Monitoring,Other,Health System,nan,IL,62781.0,5.0,642.0,1748.0,5550.0,46171570.0,4803048207.0,1260848105.0,94753.66572,-59892.125720000004,6,2023,Q2,2023Q2
2023-07-01,0061K00000k1ctr,Stage 3 - Pricing,New Business,200849.35,5/11/2022,11/15/2023,Privacy Monitoring,Cerner,Health System,nan,UT,84111.0,33.0,3904.0,10276.0,26772.0,23524519.0,26339856373.0,9065431259.0,545908.5333,-345059.18330000003,6,2023,Q2,2023Q2
2023-07-01,0061K00000k2UcZ,Stage 3 - Pricing,New Business,40611.35,6/7/2022,11/15/2023,Diversion Monitoring,Epic,Health System,nan,AZ,85008.0,2.0,533.0,564.0,3259.0,540336309.0,2902046153.0,537691756.0,110381.6493,-69770.29930000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000k35D2,Stage 4 - Verbal / VOC,New Business,111167.88,6/20/2022,8/18/2023,Diversion Monitoring,Epic,Health System,nan,TX,75203.0,10.0,1358.0,1422.0,6138.0,-72235898.0,7287456087.0,1959879705.0,277655.3059,-166487.42589999997,6,2023,Q2,2023Q2
2023-07-01,0061K00000k3Pzt,Stage 2 - Scoping,New Business,31304.08,6/27/2022,12/31/2023,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,5/31/2023,MO,65301.0,0.0,108.0,157.0,756.0,5628017.0,470460084.0,155290816.0,85084.48944,-53780.40944,6,2023,Q2,2023Q2
2023-07-01,0061K00000k3kdI,Stage 2 - Scoping,New Business,64350.4,7/5/2022,10/20/2023,Diversion Monitoring,Other,Health System,nan,TX,79601.0,4.0,883.0,864.0,3484.0,39692001.0,6498688107.0,885817924.0,174904.3872,-110553.9872,6,2023,Q2,2023Q2
2023-07-01,0061K00000k3y63,Stage 2 - Scoping,New Business,26874.64,7/8/2022,9/15/2023,Diversion Monitoring,Epic,Short Term Acute Care Hospital,6/30/2023,AK,99669.0,0.0,49.0,195.0,10544.029979324603,50062214.0,527906763.0,232027192.0,102914.352,-76039.712,6,2023,Q2,2023Q2
2023-07-01,0061K00000kOxor,Stage 3 - Pricing,New Business,35294.12,8/31/2022,3/15/2024,Diversion Monitoring,Cerner,Short Term Acute Care Hospital,9/30/2023,VT,5701.0,0.0,142.0,285.0,1352.0,22964286.0,699362158.0,305367564.0,95929.41816,-60635.29816,6,2023,Q2,2023Q2
2023-07-01,0061K00000kP16b,Stage 0 - Prospecting,Existing Business,124740.0,9/1/2022,11/30/2023,Diversion Monitoring,Meditech,Health System,nan,NY,12208.0,6.0,1618.0,2814.0,10544.029979324603,176515778.0,6789685780.0,2019472782.0,339043.32,-214303.32,6,2023,Q2,2023Q2
2023-07-01,0061K00000kXZoD,Stage 1 - Evaluating,New Business,0.0,7/13/2022,8/4/2023,Privacy Monitoring,Epic,Health System,nan,PA,19087.0,5.0,1179.0,2492.0,10544.029979324603,52214388.0,8084533521.0,1617575570.0,0.0,0.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000kZCTo,Stage 3 - Pricing,New Business,36412.85,8/19/2022,12/8/2023,Diversion Monitoring,Cerner,Short Term Acute Care Hospital,12/31/2023,CA,91786.0,0.0,363.0,423.0,1790.0,13047456.0,3266797992.0,447332724.0,98970.1263,-62557.276300000005,6,2023,Q2,2023Q2
2023-07-01,0061K00000kou4n,Stage 2 - Scoping,New Business,180338.52,9/12/2022,12/20/2024,Privacy Monitoring,Epic,Health System,nan,NY,10017.0,9.0,3271.0,6566.0,25341.0,451419495.0,24602264642.0,5858209413.0,490160.0974,-309821.57740000007,6,2023,Q2,2023Q2
2023-07-01,0061K00000kouCK,Stage 5 - Contracting,New Business,41431.73,9/12/2022,8/15/2023,Diversion Monitoring,Epic,Health System,nan,MS,39216.0,6.0,953.0,952.0,5079.0,1213750055.0,3904050174.0,885735838.0,112611.4421,-71179.7121,6,2023,Q2,2023Q2
2023-07-01,0061K00000kpEqk,Stage 3 - Pricing,Existing Business,50265.03,9/19/2022,12/15/2023,Privacy Monitoring,Epic,Childrens Hospital,9/30/2023,CT,6106.0,0.0,187.0,554.0,1700.0,50336887.0,1081920159.0,416759823.0,142069.86,-91804.82999999999,6,2023,Q2,2023Q2
2023-07-01,0061K00000kpNvo,Stage 1 - Evaluating,New Business,37110.0,9/22/2022,1/17/2024,Diversion Monitoring,Other,Short Term Acute Care Hospital,9/30/2023,FL,34239.0,3.0,787.0,1652.0,10544.029979324603,105828298.0,5775184100.0,1097444496.0,100864.98,-63754.979999999996,6,2023,Q2,2023Q2
2023-07-01,0061K00000kpO05,Stage 3 - Pricing,Existing Business,42000.11,9/22/2022,12/11/2023,Privacy Monitoring,Cerner,Short Term Acute Care Hospital,12/31/2023,TN,37920.0,0.0,698.0,1517.0,10544.029979324603,61791917.0,3974244082.0,1078155188.0,114156.299,-72156.189,6,2023,Q2,2023Q2
2023-07-01,0061K00000kpPlm,Stage 1 - Evaluating,New Business,65000.0,9/23/2022,1/3/2024,Diversion Monitoring,Epic,Health System,nan,TN,37232.0,7.0,1307.0,2875.0,10544.029979324603,607100089.0,18329514492.0,5290302667.0,176670.0,-111670.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000kpQ0R,Stage 2 - Scoping,New Business,56386.95,9/23/2022,1/25/2024,Diversion Monitoring,Epic,Health System,nan,SC,29303.0,6.0,793.0,1565.0,10544.029979324603,263599715.0,5189420242.0,1431519515.0,153259.7301,-96872.78009999999,6,2023,Q2,2023Q2
2023-07-01,0061K00000kq99K,Stage 3 - Pricing,New Business,86830.0,10/13/2022,10/31/2023,Diversion Monitoring,Epic,Health System,nan,HI,96813.0,4.0,802.0,1380.0,10544.029979324603,71659887.0,4696295026.0,1485581918.0,236003.94,-149173.94,6,2023,Q2,2023Q2
2023-07-01,0061K00000kqIEW,Stage 3 - Pricing,New Business,40690.57,10/17/2022,11/30/2023,Diversion Monitoring,Other,Health System,nan,MS,38801.0,8.0,902.0,947.0,3843.0,74107815.0,3693520088.0,921973354.0,110596.9693,-69906.39929999999,6,2023,Q2,2023Q2
2023-07-01,0061K00000kqP3K,Stage 4 - Verbal / VOC,New Business,165000.0,10/18/2022,12/15/2023,Diversion Monitoring,Epic,Health System,nan,TX,76011.0,29.0,3612.0,5695.0,28000.0,225592200.0,18466161138.0,5165327002.0,448470.0,-283470.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000kqeiJ,Stage 1 - Evaluating,Existing Business,81800.0,10/27/2022,12/1/2023,Diversion Monitoring,Epic,Health System,nan,CA,94305.0,3.0,775.0,3661.0,10544.029979324603,499462783.0,31957659110.0,6629759144.0,246936.7706709102,-4308.464665450396,6,2023,Q2,2023Q2
2023-07-01,0061K00000krTI9,Stage 3 - Pricing,New Business,57643.09,11/4/2022,8/30/2023,Privacy Monitoring,Epic,Childrens Hospital,6/30/2023,TN,38105.0,0.0,78.0,340.0,3018.0,259901606.0331903,11417820175.818886,2851373618.273419,156673.9186,-99030.82860000001,6,2023,Q2,2023Q2
2023-07-01,0061K00000krZvn,Stage 3 - Pricing,New Business,121949.1,11/7/2022,11/1/2023,Privacy Monitoring,Epic,Health System,nan,MO,64506.0,4.0,454.0,462.0,10544.029979324603,309783.0,1757616222.0,754399344.0,331457.6538,-209508.55379999997,6,2023,Q2,2023Q2
2023-07-01,0061K00000krcQr,Stage 2 - Scoping,New Business,59959.0,11/8/2022,1/18/2024,Privacy Monitoring,Cerner,Health System,nan,FL,33309.0,5.0,1392.0,1403.0,10544.029979324603,17101.0,5417944227.0,1115980121.0,162968.562,-103009.562,6,2023,Q2,2023Q2
2023-07-01,0061K00000krr1m,Stage 1 - Evaluating,New Business,34206.86,11/15/2022,1/18/2024,Diversion Monitoring,Other,nan,nan,nan,48302.49512076116,15.483214793741109,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,92974.24548,-58767.38548,6,2023,Q2,2023Q2
2023-07-01,0061K00000ks1xJ,Stage 2 - Scoping,New Business,31271.57,11/21/2022,1/3/2024,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,3/31/2023,AR,72601.0,0.0,120.0,127.0,586.0,419027.0,295466549.0,89099604.0,84996.12726,-53724.557259999994,6,2023,Q2,2023Q2
2023-07-01,0061K00000ks1yM,Stage 1 - Evaluating,New Business,58545.0,11/21/2022,1/16/2024,Diversion Monitoring,Epic,Health System,nan,FL,33901.0,5.0,1736.0,2643.0,10544.029979324603,71663305.0,11123772916.0,2322630663.0,159125.31,-100580.31,6,2023,Q2,2023Q2
2023-07-01,0061K00000ks2qa,Stage 2 - Scoping,New Business,172882.56,11/21/2022,11/1/2023,Privacy Monitoring,Other,nan,nan,nan,48302.49512076116,15.483214793741109,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,469894.7981,-297012.2381,6,2023,Q2,2023Q2
2023-07-01,0061K00000ks6KG,Stage 2 - Scoping,Existing Business,183538.73,11/22/2022,7/1/2024,Diversion Monitoring,Epic,Health System,nan,PA,19104.0,12.0,3368.0,8598.0,10544.029979324603,974371228.0,35675790562.0,7086582929.0,87826.70682,95712.02318,6,2023,Q2,2023Q2
2023-07-01,0061K00000ksGKu,Stage 3 - Pricing,New Business,43697.04,11/28/2022,9/28/2023,Diversion Monitoring,Cerner,Childrens Hospital,6/30/2023,CA,92868.0,2.0,334.0,592.0,10544.029979324603,236696142.0,3719511108.0,895449743.0,118768.5547,-75071.5147,6,2023,Q2,2023Q2
2023-07-01,0061K00000ksL3T,Stage 4 - Verbal / VOC,New Business,37641.81,11/30/2022,9/15/2023,Privacy Monitoring,Other,nan,nan,nan,48302.49512076116,0.0,1806.345805820494,2977.190464487589,2100.0,259901606.0331903,11417820175.818886,2851373618.273419,102310.4396,-64668.6296,6,2023,Q2,2023Q2
2023-07-01,0061K00000ksLmF,Stage 3 - Pricing,Existing Business,597000.0,12/1/2022,12/15/2023,Privacy Monitoring,Cerner,Health System,nan,PA,19406.0,181.0,21055.0,7653.0,10544.029979324603,-45008465.0,71051699724.0,10342833445.0,1622646.0,-1025646.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000ksMo0,Stage 3 - Pricing,Existing Business,34752.03,12/2/2022,3/22/2024,Diversion Monitoring,Epic,Health System,nan,CA,94598.0,3.0,823.0,1460.0,10544.029979324603,537503343.0,9200794477.0,1665833822.0,94456.01754,-59703.98754,6,2023,Q2,2023Q2
2023-07-01,0061K00000kwvSE,Stage 2 - Scoping,New Business,52138.39,9/9/2022,3/8/2024,Diversion Monitoring,Other,Short Term Acute Care Hospital,3/31/2023,NY,14203.0,0.0,142.0,472.0,10544.029979324603,263885489.0,2350048222.0,772346620.0,141712.144,-89573.754,6,2023,Q2,2023Q2
2023-07-01,0061K00000l5Gwu,Stage 1 - Evaluating,New Business,145000.0,10/19/2022,1/4/2024,Diversion Monitoring,Cerner,Health System,nan,TN,37067.0,83.0,10122.0,10866.0,10544.029979324603,-29178396.0,89793712179.0,10927901885.0,394110.0,-249110.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQ8eP,Stage 2 - Scoping,New Business,66340.0,12/15/2022,1/18/2024,Diversion Monitoring,Epic,Health System,nan,GA,30066.0,14.0,2629.0,4160.0,10544.029979324603,29903615.0,20213320241.0,4105784125.0,180312.12,-113972.12,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQEWv,Stage 0 - Prospecting,Existing Business,45000.0,12/22/2022,12/31/2024,Diversion Monitoring,Epic,Health System,nan,MI,48912.0,6.0,575.0,1550.0,10544.029979324603,35101721.0,4250111356.0,1201182470.0,122310.0,-77310.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQEXP,Stage 0 - Prospecting,Existing Business,81168.0,12/22/2022,12/31/2024,Diversion Monitoring,Epic,Health System,nan,CA,94143.0,8.0,1569.0,2667.0,10544.029979324603,4035475835.0,20906203178.0,5702637248.0,220614.624,-139446.624,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQEgL,Stage 0 - Prospecting,Existing Business,115000.0,12/22/2022,12/31/2024,Privacy Monitoring,Epic,Health System,nan,KS,66160.0,6.0,1225.0,2430.0,10544.029979324603,331872975.0,12538530661.0,2697366076.0,312570.0,-197570.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQGpA,Stage 0 - Prospecting,Existing Business,69000.0,12/27/2022,12/31/2024,Diversion Monitoring,Epic,Health System,nan,WA,98683.0,10.0,1225.0,3159.0,10544.029979324603,14632000.0,9114356378.0,3024833937.0,187542.0,-118542.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQGpZ,Stage 0 - Prospecting,Existing Business,88402.61,12/27/2022,12/31/2024,Diversion Monitoring,Epic,Health System,nan,OH,43202.0,19.0,2441.0,5167.0,10544.029979324603,9064721.0,14469495458.0,4549852020.0,240278.294,-151875.684,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQGpt,Stage 0 - Prospecting,Existing Business,35000.0,12/27/2022,12/31/2024,Diversion Monitoring,Other,nan,nan,nan,48302.49512076116,15.483214793741109,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,95130.0,-60130.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQGqh,Stage 0 - Prospecting,Existing Business,35800.0,12/27/2022,12/31/2024,Diversion Monitoring,Other,Short Term Acute Care Hospital,12/31/2023,NJ,8822.0,0.0,184.0,584.0,10544.029979324603,48893674.0,1195698367.0,358356591.0,97304.4,-61504.399999999994,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQGr1,Stage 0 - Prospecting,Existing Business,35000.0,12/27/2022,12/31/2024,Diversion Monitoring,Epic,Health System,nan,WA,98274.0,2.0,185.0,584.0,10544.029979324603,13919751.0,1777608297.0,492085069.0,95130.0,-60130.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQGrs,Stage 0 - Prospecting,Existing Business,47590.0,12/27/2022,12/31/2024,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/2023,NJ,7450.0,0.0,385.0,918.0,10544.029979324603,4145859.0,3122088230.0,951820220.0,129349.62,-81759.62,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQHgf,Stage 0 - Prospecting,Existing Business,55000.0,12/27/2022,12/31/2024,Diversion Monitoring,Other,Health System,nan,CO,80021.0,0.0,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,149490.0,-94490.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQHgz,Stage 0 - Prospecting,Existing Business,47000.0,12/28/2022,12/31/2024,Diversion Monitoring,Epic,Childrens Hospital,6/30/2023,AR,72202.0,2.0,324.0,589.0,10544.029979324603,42397779.0,1260897011.0,628693116.0,127746.0,-80746.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQHhA,Stage 0 - Prospecting,Existing Business,35000.0,12/28/2022,12/31/2024,Diversion Monitoring,Other,Health System,nan,NY,10456.0,2.0,454.0,478.0,10544.029979324603,136586428.0,1421783437.0,870350202.0,95130.0,-60130.0,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQeMa,Stage 3 - Pricing,New Business,80618.41,1/17/2023,8/1/2023,Diversion Monitoring,Epic,Health System,nan,OH,45429.0,9.0,1150.0,2471.0,7334.0,17000710.0,10534781091.0,2110833683.0,219120.8384,-138502.4284,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQfz0,Stage 3 - Pricing,New Business,131688.66,1/18/2023,9/29/2023,Compliance Analytics,Epic,Health System,nan,OR,97504.0,3.0,491.0,1563.0,994.0,3775.0,3657794891.0,1064363856.0,357929.7779,-226241.11789999998,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQjqv,Stage 1 - Evaluating,Existing Business,87662.1,1/23/2023,2/16/2024,Diversion Monitoring,Epic,Short Term Acute Care Hospital,9/30/2023,MA,2215.0,0.0,30.0,639.0,10544.029979324603,59411523.0,5408631917.0,1883616165.0,238265.5878,-150603.4878,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQkOe,Stage 3 - Pricing,New Business,37348.07,1/24/2023,12/8/2023,Diversion Monitoring,Other,nan,nan,nan,48302.49512076116,15.483214793741109,1806.345805820494,2977.190464487589,10544.029979324603,259901606.0331903,11417820175.818886,2851373618.273419,101512.0543,-64163.984300000004,6,2023,Q2,2023Q2
2023-07-01,0061K00000lQnMr,Stage 3 - Pricing,Existing Business,37722.01,1/26/2023,8/31/2023,Privacy Monitoring,Epic,Health System,nan,WA,98405.0,12.0,1900.0,4731.0,3131.0,40220179.0,13872969998.0,3600544769.0,102528.4232,-64806.4132,6,2023,Q2,2023Q2
