Snapshot_Date,Opportunity_ID,Opportunity_Stage,Opportunity_Type,Opportunity_Annual_Amount,Opportunity_Created_Date,Opportunity_Close_Date,Opportunity_Product,Account_Electronic_Medical_Record_System,Account_Hospital_Type,Account_Fiscal_Year_End,Account_State,Account_Zip_Code,Account_Number_of_Hospitals ,Account_Number_of_Beds,Account_Number_of_Affiliated_Physicians,Account_Number_of_Employee,Account_Cash_on_Hand,Account_Total_Patient_Revenue,Account_Net_Patient_Revenue
7/1/23,0061K00000lTtGU,Stage 1 - Evaluating,New Business,114622.5991,6/14/23,11/24/23,Compliance Analytics,Other,Critical Access Hospital,9/30/23,TX,78861,16,25,59,,16719621,78045948,31641064
7/1/23,0061K00000lTT2E,Stage 3 - Pricing,Existing Business,133861.4185,5/30/23,9/18/23,Diversion Monitoring,Epic,Health System,,NC,27835,10,1401,2063,2321,46121552,4684239196,1880969076
7/1/23,0061K00000lTSii,Stage 4 - Verbal / VOC,New Business,92390.55498,5/30/23,9/10/23,Privacy Monitoring,Epic,Health System,,FL,34102,2,793,838,2657,15927396,3159608637,677748228
7/1/23,0061K00000lTSeW,Stage 2 - Scoping,New Business,315562.518,5/30/23,12/20/23,Privacy Monitoring,Epic,Health System,,SC,29425,12,1857,3182,11739,318101846,12720090009,3135637889
7/1/23,0061K00000lTOLQ,Stage 1 - Evaluating,New Business,66699.25794,5/25/23,5/1/24,Diversion Monitoring,Meditech,Health System,,NY,10701,3,460,321,1668,8349690,913028296,267882489
7/1/23,0061K00000lTLvi,Stage 2 - Scoping,New Business,88643.81916,5/24/23,11/30/23,Privacy Monitoring,Meditech,Health System,,RI,02908,2,311,428,1333,280967,1150758110,303821323
7/1/23,0061K00000lTkhM,Stage 1 - Evaluating,New Business,89965.8,6/8/23,1/1/24,Diversion Monitoring,Epic,Health System,,NE,68506,6,813,1180,,151364775,3242720492,1092670794
7/1/23,0061K00000lTijP,Stage 3 - Pricing,New Business,254147.8946,6/7/23,10/27/23,Privacy Monitoring,Cerner,Health System,,CA,90033,4,796,1430,,15742350,8500361980,2245021398
7/1/23,0061K00000lTid7,Stage 2 - Scoping,New Business,36760.95,6/7/23,11/1/23,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/23,IN,46176,0,46,179,,-870779,528200353,156923865
7/1/23,0061K00000lTCSu,Stage 4 - Verbal / VOC,New Business,91924.44516,5/18/23,9/5/23,Diversion Monitoring,Cerner,Health System,,AL,36617,3,692,2039,,193337610,2453868666,824021535
7/1/23,0061K00000lT83q,Stage 3 - Pricing,New Business,50543.43876,5/16/23,8/31/23,Privacy Monitoring,Other,,,,,,,,,,,
7/1/23,0061K00000lT5lQ,Stage 2 - Scoping,Existing Business,444594.7843,5/16/23,5/1/24,Diversion Monitoring,Epic,Health System,,NJ,08837,18,4438,6636,,34261748,21201628270,5673294538
7/1/23,0061K00000lT0UU,Stage 2 - Scoping,New Business,29898,5/11/23,11/1/23,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/23,AZ,85008,51,64,63,,26389956,257201820,66081222
7/1/23,0061K00000lSyU9,Stage 3 - Pricing,New Business,877406.3048,5/10/23,9/29/23,Privacy Monitoring,Epic,Health System,,TX,75246,51,4875,9506,28619,342375318,31719367734,9226871582
7/1/23,0061K00000lSTwZ,Stage 3 - Pricing,New Business,78085.34046,4/21/23,12/15/23,Privacy Monitoring,Other,,,,,,,,,,,
7/1/23,0061K00000lSTui,Stage 3 - Pricing,New Business,86979.1257,4/21/23,12/4/23,Diversion Monitoring,Epic,Short Term Acute Care Hospital,9/30/23,GA,30720,0,221,516,,14236193,1487900893,349624719
7/1/23,0061K00000lSpcr,Stage 3 - Pricing,New Business,184690.818,5/5/23,11/16/23,Privacy Monitoring,Epic,Health System,,KY,41017,6,855,1319,6340,132149153,4133409109,1522600343
7/1/23,0061K00000lSpcq,Stage 2 - Scoping,New Business,115515,5/5/23,5/16/24,Diversion Monitoring,Epic,Short Term Acute Care Hospital,12/31/23,GA,30303,0,694,1156,,61232718,7301985885,1185936329
7/1/23,0061K00000lSpb9,Stage 3 - Pricing,New Business,115914.9537,5/5/23,3/15/24,Diversion Monitoring,Other,,,,,,,,,,,
7/1/23,0061K00000lSoYw,Stage 3 - Pricing,New Business,68602.32,5/4/23,12/20/23,Diversion Monitoring,Cerner,Health System,,MO,64108,3,365,654,,-1453431,1233890416,663746066
7/1/23,0061K00000lSNIt,Closed Lost,New Business,202064.274,4/20/23,6/29/23,Diversion Monitoring,Epic,Health System,,VA,22903,5,984,2397,10109,15522081,8381402195,2490998548
7/1/23,0061K00000lSelV,Stage 1 - Evaluating,New Business,92147.83758,4/28/23,3/22/24,Privacy Monitoring,Meditech,Health System,,AZ,86409,1,196,383,,47825586,1932300351,369771903
7/1/23,0061K00000lSekN,Stage 3 - Pricing,New Business,69581.56104,4/28/23,12/15/23,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,9/30/23,TX,77954,16,44,85,,24371942,109589732,35608344
7/1/23,0061K00000lSekh,Stage 1 - Evaluating,New Business,32819.85,4/28/23,12/15/23,Diversion Monitoring,Epic,Critical Access Hospital,12/31/23,CO,81611,0,25,172,,79127288,195072360,130050316
7/1/23,0061K00000lSejF,Stage 3 - Pricing,New Business,81399.94146,4/28/23,12/15/23,Privacy Monitoring,Cerner,Health System,,CA,94533,2,182,324,1550,25047550,4463162610,676594922
7/1/23,0061K00000lScir,Stage 2 - Scoping,Existing Business,360006.656,4/27/23,12/15/23,Privacy Monitoring,Epic,Health System,,NY,11570,6,1724,2823,10414,13428000,11927474922,2587604508
7/1/23,0061K00000lScce,Stage 1 - Evaluating,New Business,128787.8366,4/27/23,3/15/24,Privacy Monitoring,Epic,Health System,,NY,10940,3,420,841,,25945000,2576205540,666945846
7/1/23,0061K00000lSauT,Stage 3 - Pricing,Existing Business,92765.69334,4/26/23,9/21/23,Privacy Monitoring,Epic,Health System,,SC,29506,7,764,1167,,37730451,6003595117,1226821177
7/1/23,0061K00000lS1S0,Stage 2 - Scoping,New Business,103767.6137,4/12/23,3/15/24,Privacy Monitoring,Epic,Health System,,MD,21801,2,319,913,,29089987,895131961,608750189
7/1/23,0061K00000lRyiO,Stage 3 - Pricing,New Business,32523.94134,4/10/23,8/31/23,Privacy Monitoring,Epic,Critical Access Hospital,6/30/23,IA,51537,0,25,46,,21466237,71942108,40799174
7/1/23,0061K00000lRyE9,Stage 2 - Scoping,Existing Business,108720,4/10/23,2/15/24,Diversion Monitoring,Epic,Health System,,KY,40223,10,2235,5166,,12270781,20522369412,3302416591
7/1/23,0061K00000lRyC4,Stage 3 - Pricing,New Business,109501.7512,4/10/23,9/12/23,Privacy Monitoring,Epic,Short Term Acute Care Hospital,9/30/23,GA,30720,0,221,516,,14236193,1487900893,349624719
7/1/23,0061K00000lRY1U,Closed Won,Existing Business,130393.7397,3/13/23,6/29/23,Diversion Monitoring,Epic,Health System,,NJ,08053,5,1328,1681,7521,17053021,12434163918,1889100630
7/1/23,0061K00000lRXzn,Stage 4 - Verbal / VOC,New Business,73361.48364,3/13/23,7/31/23,Privacy Monitoring,Epic,Short Term Acute Care Hospital,6/30/23,WA,98004,0,296,1342,2625,15282530,2039476965,622204958
7/1/23,0061K00000lRWHg,Stage 2 - Scoping,New Business,34233.21,3/10/23,12/1/23,Diversion Monitoring,Cerner,Short Term Acute Care Hospital,6/30/23,OH,43402,0,99,159,,32862832,222012876,101985782
7/1/23,0061K00000lRW2L,Stage 2 - Scoping,New Business,183587.31,3/10/23,10/1/23,Diversion Monitoring,Epic,Health System,,WI,54956,8,436,1233,,562288143,2162240920,845628712
7/1/23,0061K00000lRVJl,Stage 2 - Scoping,New Business,90021.35592,3/9/23,10/31/23,Diversion Monitoring,Meditech,Critical Access Hospital,6/30/23,OR,97467,0,16,35,,3953014,52635347,27772884
7/1/23,0061K00000lRSQ2,Closed Lost,New Business,32901.39,3/7/23,6/27/23,Diversion Monitoring,Epic,Critical Access Hospital,9/30/23,IN,46703,0,25,102,,21564054,230291824,95054118
7/1/23,0061K00000lRSQ1,Closed Lost,New Business,225930.733,3/7/23,6/9/23,Privacy Monitoring,Epic,Health System,,NE,68198,2,682,1875,,23342717,4660493585,1407672468
7/1/23,0061K00000lRSOj,Stage 0 - Prospecting,New Business,198033.48,3/7/23,1/1/24,Diversion Monitoring,Epic,Health System,,MI,49503,10,1901,4000,,982985681,7869236233,3290488427
7/1/23,0061K00000lRRz0,Closed Lost,Existing Business,98473.14,3/7/23,6/13/23,Diversion Monitoring,Epic,Health System,,TX,76104,2,423,687,,639483030,3082304898,1507132574
7/1/23,0061K00000lRRhB,Stage 1 - Evaluating,New Business,200330.19,3/7/23,3/1/24,Diversion Monitoring,Epic,Health System,,IL,61602,16,2074,3611,,2010921850,12173925432,3065396921
7/1/23,0061K00000lRRcz,Stage 2 - Scoping,New Business,145845.162,3/7/23,11/29/23,Privacy Monitoring,Epic,Health System,,IL,61801,8,1047,2633,,-7753402,8760516151,2145843474
7/1/23,0061K00000lRQxb,Stage 1 - Evaluating,New Business,63841.93326,3/6/23,3/22/24,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/23,PA,19020,16,24,51,,6202212,265996964,64769294
7/1/23,0061K00000lRnT0,Stage 3 - Pricing,Existing Business,108720.2446,3/29/23,1/10/24,Diversion Monitoring,Cerner,Health System,,TN,38401,3,305,409,,69030782,1460600399,365065858
7/1/23,0061K00000lRmJS,Stage 4 - Verbal / VOC,New Business,74107.41156,3/28/23,11/29/23,Privacy Monitoring,Other,,,,,,,,,,,
7/1/23,0061K00000lRLbH,Stage 2 - Scoping,New Business,945989.028,3/1/23,3/29/24,Privacy Monitoring,Epic,Health System,,TX,76011,29,3612,5695,34594,225592200,18466161138,5165327002
7/1/23,0061K00000lRKfD,Stage 4 - Verbal / VOC,New Business,157275.3577,2/28/23,12/1/23,Privacy Monitoring,Epic,Health System,,OH,45219,2,546,822,,38008899,3155461160,891957700
7/1/23,0061K00000lRjSu,Stage 1 - Evaluating,New Business,546100.6144,3/23/23,12/13/23,Diversion Monitoring,Epic,Health System,,MA,02138,14,2413,7892,,51680048,11394245520,4977074535
7/1/23,0061K00000lRJ2c,Stage 3 - Pricing,New Business,2393879.777,2/28/23,11/15/23,Privacy Monitoring,Epic,Health System,,FL,32714,53,9060,13988,46304,4779920653,65116696237,13243106471
7/1/23,0061K00000lRICd,Stage 1 - Evaluating,New Business,278078.58,2/27/23,3/29/24,Diversion Monitoring,Epic,Health System,,TX,77030,9,2774,3594,,514064657,31011802529,5737386317
7/1/23,0061K00000lRIBo,Stage 2 - Scoping,New Business,429009.12,2/27/23,12/1/23,Diversion Monitoring,Other,Health System,,CO,80112,0,2136,3615,,,,
7/1/23,0061K00000lRFy8,Stage 3 - Pricing,Existing Business,78822.05436,2/24/23,8/15/23,Privacy Monitoring,Epic,Health System,,SC,29646,2,315,503,,25708439,1275976193,425613703
7/1/23,0061K00000lReig,Stage 3 - Pricing,New Business,245218.9657,3/20/23,12/29/23,Privacy Monitoring,Other,Health System,,CA,91010,4,378,1083,5880,7546306,7995795106,2934195285
7/1/23,0061K00000lRDxS,Stage 3 - Pricing,New Business,79678.17,2/22/23,8/30/23,Diversion Monitoring,Cerner,Health System,,GA,30912,5,724,968,,25495707,3721194937,742974036
7/1/23,0061K00000lRcxO,Stage 3 - Pricing,New Business,83154.65508,3/17/23,2/15/24,Privacy Monitoring,Other,Rehabilitation Hospital,6/30/23,TN,37403,0,96,22,,15187834,51439479,48922164
7/1/23,0061K00000lRcwu,Stage 3 - Pricing,New Business,122309.8641,3/17/23,11/15/23,Diversion Monitoring,Epic,Health System,,FL,32256,2,336,1340,,4425,2549306153,962736304
7/1/23,0061K00000lRc1h,Stage 1 - Evaluating,New Business,188215.8194,3/16/23,3/29/24,Diversion Monitoring,Epic,Health System,,CA,92354,6,1163,1695,9300,181173882,10917053991,1872645618
7/1/23,0061K00000lR9dm,Stage 3 - Pricing,Existing Business,83573.064,2/17/23,9/1/23,Privacy Monitoring,Epic,Health System,,WA,98405,12,1900,4731,,40220179,13872969998,3600544769
7/1/23,0061K00000lR4ZU,Stage 4 - Verbal / VOC,New Business,254174.2321,2/13/23,9/15/23,Diversion Monitoring,Epic,Health System,,NJ,07960,8,1940,4317,,696210495,17079849946,3472758404
7/1/23,0061K00000lR0jz,Stage 2 - Scoping,New Business,239152.4168,2/8/23,12/31/23,Diversion Monitoring,Epic,Health System,,UT,84132,4,735,2071,12039,635185592,5663086159,2634418500
7/1/23,0061K00000lQy8P,Stage 3 - Pricing,New Business,138620.718,2/6/23,11/15/23,Compliance Analytics,Epic,Health System,,FL,32256,2,336,1340,,4425,2549306153,962736304
7/1/23,0061K00000lQnMr,Stage 3 - Pricing,Existing Business,102528.4232,1/26/23,8/31/23,Privacy Monitoring,Epic,Health System,,WA,98405,12,1900,4731,3131,40220179,13872969998,3600544769
7/1/23,0061K00000lQkOe,Stage 3 - Pricing,New Business,101512.0543,1/24/23,12/8/23,Diversion Monitoring,Other,,,,,,,,,,,
7/1/23,0061K00000lQjqv,Stage 1 - Evaluating,Existing Business,238265.5878,1/23/23,2/16/24,Diversion Monitoring,Epic,Short Term Acute Care Hospital,9/30/23,MA,02215,0,30,639,,59411523,5408631917,1883616165
7/1/23,0061K00000lQJFA,Closed Lost,New Business,358032.3552,12/29/22,6/14/23,Diversion Monitoring,Epic,Short Term Acute Care Hospital,12/31/23,TX,78229,0,657,1397,,369795724,4803778711,1096152133
7/1/23,0061K00000lQHhA,Stage 0 - Prospecting,Existing Business,95130,12/28/22,12/31/24,Diversion Monitoring,Other,Health System,,NY,10456,2,454,478,,136586428,1421783437,870350202
7/1/23,0061K00000lQHgz,Stage 0 - Prospecting,Existing Business,127746,12/28/22,12/31/24,Diversion Monitoring,Epic,Childrens Hospital,6/30/23,AR,72202,2,324,589,,42397779,1260897011,628693116
7/1/23,0061K00000lQHgf,Stage 0 - Prospecting,Existing Business,149490,12/27/22,12/31/24,Diversion Monitoring,Other,Health System,,CO,80021,0,,,,,,
7/1/23,0061K00000lQGrs,Stage 0 - Prospecting,Existing Business,129349.62,12/27/22,12/31/24,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/23,NJ,07450,0,385,918,,4145859,3122088230,951820220
7/1/23,0061K00000lQGr1,Stage 0 - Prospecting,Existing Business,95130,12/27/22,12/31/24,Diversion Monitoring,Epic,Health System,,WA,98274,2,185,584,,13919751,1777608297,492085069
7/1/23,0061K00000lQGqh,Stage 0 - Prospecting,Existing Business,97304.4,12/27/22,12/31/24,Diversion Monitoring,Other,Short Term Acute Care Hospital,12/31/23,NJ,08822,0,184,584,,48893674,1195698367,358356591
7/1/23,0061K00000lQGpZ,Stage 0 - Prospecting,Existing Business,240278.294,12/27/22,12/31/24,Diversion Monitoring,Epic,Health System,,OH,43202,19,2441,5167,,9064721,14469495458,4549852020
7/1/23,0061K00000lQGpt,Stage 0 - Prospecting,Existing Business,95130,12/27/22,12/31/24,Diversion Monitoring,Other,,,,,,,,,,,
7/1/23,0061K00000lQGpA,Stage 0 - Prospecting,Existing Business,187542,12/27/22,12/31/24,Diversion Monitoring,Epic,Health System,,WA,98683,10,1225,3159,,14632000,9114356378,3024833937
7/1/23,0061K00000lQfz0,Stage 3 - Pricing,New Business,357929.7779,1/18/23,9/29/23,Compliance Analytics,Epic,Health System,,OR,97504,3,491,1563,994,3775,3657794891,1064363856
7/1/23,0061K00000lQEXP,Stage 0 - Prospecting,Existing Business,220614.624,12/22/22,12/31/24,Diversion Monitoring,Epic,Health System,,CA,94143,8,1569,2667,,4035475835,20906203178,5702637248
7/1/23,0061K00000lQEWv,Stage 0 - Prospecting,Existing Business,122310,12/22/22,12/31/24,Diversion Monitoring,Epic,Health System,,MI,48912,6,575,1550,,35101721,4250111356,1201182470
7/1/23,0061K00000lQeMa,Stage 3 - Pricing,New Business,219120.8384,1/17/23,8/1/23,Diversion Monitoring,Epic,Health System,,OH,45429,9,1150,2471,7334,17000710,10534781091,2110833683
7/1/23,0061K00000lQEgL,Stage 0 - Prospecting,Existing Business,312570,12/22/22,12/31/24,Privacy Monitoring,Epic,Health System,,KS,66160,6,1225,2430,,331872975,12538530661,2697366076
7/1/23,0061K00000lQ8eP,Stage 2 - Scoping,New Business,180312.12,12/15/22,1/18/24,Diversion Monitoring,Epic,Health System,,GA,30066,14,2629,4160,,29903615,20213320241,4105784125
7/1/23,0061K00000l5Gwu,Stage 1 - Evaluating,New Business,394110,10/19/22,1/4/24,Diversion Monitoring,Cerner,Health System,,TN,37067,83,10122,10866,,-29178396,89793712179,10927901885
7/1/23,0061K00000kZCTo,Stage 3 - Pricing,New Business,98970.1263,8/19/22,12/8/23,Diversion Monitoring,Cerner,Short Term Acute Care Hospital,12/31/23,CA,91786,0,363,423,1790,13047456,3266797992,447332724
7/1/23,0061K00000kZ3Fq,Closed Lost,New Business,171843.4028,8/16/22,6/9/23,Diversion Monitoring,Cerner,Health System,,MO,65802,5,865,1281,,255014979,5973226429,1684043799
7/1/23,0061K00000kXZoD,Stage 1 - Evaluating,New Business,0,7/13/22,8/4/23,Privacy Monitoring,Epic,Health System,,PA,19087,5,1179,2492,,52214388,8084533521,1617575570
7/1/23,0061K00000kwvSE,Stage 2 - Scoping,New Business,141712.144,9/9/22,3/8/24,Diversion Monitoring,Other,Short Term Acute Care Hospital,3/31/23,NY,14203,0,142,472,,263885489,2350048222,772346620
7/1/23,0061K00000ksMo0,Stage 3 - Pricing,Existing Business,94456.01754,12/2/22,3/22/24,Diversion Monitoring,Epic,Health System,,CA,94598,3,823,1460,,537503343,9200794477,1665833822
7/1/23,0061K00000ksMnz,Closed Lost,New Business,97648.06392,12/2/22,6/2/23,Privacy Monitoring,Epic,Health System,,GA,30117,4,283,471,,163032511,1968510653,630887214
7/1/23,0061K00000ksLmF,Stage 3 - Pricing,Existing Business,1622646,12/1/22,12/15/23,Privacy Monitoring,Cerner,Health System,,PA,19406,181,21055,7653,,-45008465,71051699724,10342833445
7/1/23,0061K00000ksL3T,Stage 4 - Verbal / VOC,New Business,102310.4396,11/30/22,9/15/23,Privacy Monitoring,Other,,,,,0,,,2100,,,
7/1/23,0061K00000ksGKu,Stage 3 - Pricing,New Business,118768.5547,11/28/22,9/28/23,Diversion Monitoring,Cerner,Childrens Hospital,6/30/23,CA,92868,2,334,592,,236696142,3719511108,895449743
7/1/23,0061K00000ks6KG,Stage 2 - Scoping,Existing Business,498858.2681,11/22/22,7/1/24,Diversion Monitoring,Epic,Health System,,PA,19104,12,3368,8598,,974371228,35675790562,7086582929
7/1/23,0061K00000ks2qa,Stage 2 - Scoping,New Business,469894.7981,11/21/22,11/1/23,Privacy Monitoring,Other,,,,,,,,,,,
7/1/23,0061K00000ks1yM,Stage 1 - Evaluating,New Business,159125.31,11/21/22,1/16/24,Diversion Monitoring,Epic,Health System,,FL,33901,5,1736,2643,,71663305,11123772916,2322630663
7/1/23,0061K00000ks1xJ,Stage 2 - Scoping,New Business,84996.12726,11/21/22,1/3/24,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,3/31/23,AR,72601,0,120,127,586,419027,295466549,89099604
7/1/23,0061K00000krZvn,Stage 3 - Pricing,New Business,331457.6538,11/7/22,11/1/23,Privacy Monitoring,Epic,Health System,,MO,64506,4,454,462,,309783,1757616222,754399344
7/1/23,0061K00000krTI9,Stage 3 - Pricing,New Business,156673.9186,11/4/22,8/30/23,Privacy Monitoring,Epic,Childrens Hospital,6/30/23,TN,38105,0,78,340,3018,,,
7/1/23,0061K00000krr1m,Stage 1 - Evaluating,New Business,92974.24548,11/15/22,1/18/24,Diversion Monitoring,Other,,,,,,,,,,,
7/1/23,0061K00000krcQr,Stage 2 - Scoping,New Business,162968.562,11/8/22,1/18/24,Privacy Monitoring,Cerner,Health System,,FL,33309,5,1392,1403,,17101,5417944227,1115980121
7/1/23,0061K00000kqP3K,Stage 4 - Verbal / VOC,New Business,448470,10/18/22,12/15/23,Diversion Monitoring,Epic,Health System,,TX,76011,29,3612,5695,28000,225592200,18466161138,5165327002
7/1/23,0061K00000kqIEW,Stage 3 - Pricing,New Business,110596.9693,10/17/22,11/30/23,Diversion Monitoring,Other,Health System,,MS,38801,8,902,947,3843,74107815,3693520088,921973354
7/1/23,0061K00000kqeiJ,Stage 1 - Evaluating,Existing Business,222332.4,10/27/22,12/1/23,Diversion Monitoring,Epic,Health System,,CA,94305,3,775,3661,,499462783,31957659110,6629759144
7/1/23,0061K00000kqaAJ,Closed Lost,Existing Business,371221.3958,10/25/22,6/20/23,Diversion Monitoring,Epic,Health System,,NY,14642,9,1536,4283,16368,1155958768,9074822125,3837123381
7/1/23,0061K00000kq99K,Stage 3 - Pricing,New Business,236003.94,10/13/22,10/31/23,Diversion Monitoring,Epic,Health System,,HI,96813,4,802,1380,,71659887,4696295026,1485581918
7/1/23,0061K00000kpQ0R,Stage 2 - Scoping,New Business,153259.7301,9/23/22,1/25/24,Diversion Monitoring,Epic,Health System,,SC,29303,6,793,1565,,263599715,5189420242,1431519515
7/1/23,0061K00000kpPlm,Stage 1 - Evaluating,New Business,176670,9/23/22,1/3/24,Diversion Monitoring,Epic,Health System,,TN,37232,7,1307,2875,,607100089,18329514492,5290302667
7/1/23,0061K00000kpO05,Stage 3 - Pricing,Existing Business,114156.299,9/22/22,12/11/23,Privacy Monitoring,Cerner,Short Term Acute Care Hospital,12/31/23,TN,37920,0,698,1517,,61791917,3974244082,1078155188
7/1/23,0061K00000kpNvo,Stage 1 - Evaluating,New Business,100864.98,9/22/22,1/17/24,Diversion Monitoring,Other,Short Term Acute Care Hospital,9/30/23,FL,34239,3,787,1652,,105828298,5775184100,1097444496
7/1/23,0061K00000kpEqk,Stage 3 - Pricing,Existing Business,136620.3515,9/19/22,12/15/23,Privacy Monitoring,Epic,Childrens Hospital,9/30/23,CT,06106,0,187,554,1700,50336887,1081920159,416759823
7/1/23,0061K00000kP16b,Stage 0 - Prospecting,Existing Business,339043.32,9/1/22,11/30/23,Diversion Monitoring,Meditech,Health System,,NY,12208,6,1618,2814,,176515778,6789685780,2019472782
7/1/23,0061K00000kOxor,Stage 3 - Pricing,New Business,95929.41816,8/31/22,3/15/24,Diversion Monitoring,Cerner,Short Term Acute Care Hospital,9/30/23,VT,05701,0,142,285,1352,22964286,699362158,305367564
7/1/23,0061K00000kouCK,Stage 5 - Contracting,New Business,112611.4421,9/12/22,8/15/23,Diversion Monitoring,Epic,Health System,,MS,39216,6,953,952,5079,1213750055,3904050174,885735838
7/1/23,0061K00000kou4n,Stage 2 - Scoping,New Business,490160.0974,9/12/22,12/20/24,Privacy Monitoring,Epic,Health System,,NY,10017,9,3271,6566,25341,451419495,24602264642,5858209413
7/1/23,0061K00000k3y63,Stage 2 - Scoping,New Business,73045.27152,7/8/22,9/15/23,Diversion Monitoring,Epic,Short Term Acute Care Hospital,6/30/23,AK,99669,0,49,195,,50062214,527906763,232027192
7/1/23,0061K00000k3Pzt,Stage 2 - Scoping,New Business,85084.48944,6/27/22,12/31/23,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,5/31/23,MO,65301,0,108,157,756,5628017,470460084,155290816
7/1/23,0061K00000k3kdI,Stage 2 - Scoping,New Business,174904.3872,7/5/22,10/20/23,Diversion Monitoring,Other,Health System,,TX,79601,4,883,864,3484,39692001,6498688107,885817924
7/1/23,0061K00000k35D2,Stage 4 - Verbal / VOC,New Business,302154.2978,6/20/22,8/18/23,Diversion Monitoring,Epic,Health System,,TX,75203,10,1358,1422,6138,-72235898,7287456087,1959879705
7/1/23,0061K00000k2UcZ,Stage 3 - Pricing,New Business,110381.6493,6/7/22,11/15/23,Diversion Monitoring,Epic,Health System,,AZ,85008,2,533,564,3259,540336309,2902046153,537691756
7/1/23,0061K00000k2oTq,Closed Lost,New Business,251397.4417,6/14/22,6/29/23,Diversion Monitoring,Epic,Health System,,PA,17822,14,1918,3278,14508,97231778,22215969008,3224847183
7/1/23,0061K00000k1XAe,Stage 2 - Scoping,New Business,94753.66572,5/9/22,9/1/23,Diversion Monitoring,Other,Health System,,IL,62781,5,642,1748,5550,46171570,4803048207,1260848105
7/1/23,0061K00000k1EDy,Stage 2 - Scoping,Existing Business,158831.6301,4/29/22,10/31/23,Diversion Monitoring,Epic,Health System,,ID,83712,11,1180,2468,10568,14296945,7092819259,2937497669
7/1/23,0061K00000k1ctr,Stage 3 - Pricing,New Business,545908.5333,5/11/22,11/15/23,Privacy Monitoring,Cerner,Health System,,UT,84111,33,3904,10276,26772,23524519,26339856373,9065431259
7/1/23,0061K00000k1CB5,Closed Won,New Business,226640.2669,4/28/22,6/27/23,Diversion Monitoring,Epic,Health System,,OH,45237,41,5906,10033,27533,464771524,42481735560,8826927870
7/1/23,0061K00000k0tDa,Stage 3 - Pricing,Existing Business,150596.226,4/19/22,9/22/23,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/23,CA,91405,0,333,163,1864,22920686,950775168,461998367
7/1/23,0061K00000k0BLF,Stage 4 - Verbal / VOC,New Business,60047.2791,4/5/22,8/18/23,Diversion Monitoring,Meditech,Short Term Acute Care Hospital,12/31/23,CO,81505,0,44,315,902,20070769,735419089,216502671
